1,2,3,5
26.03.2013,20:45,T,Malta
07.06.2013,20:45,T,Repubblica Ceca
06.09.2013,20:45,C,Bulgaria
10.09.2013,20:45,C,Repubblica Ceca
11.10.2013,20:15,T,Danimarca
15.10.2013,20:45,C,Armenia
16.06.2013,21:00,N,Messico
20.06.2013,00:00,N,Giappone
22.06.2013,21:00,N,Brasile
27.06.2013,21:00,N,Spagna
30.06.2013,18:00,N,Uruguay
06.02.2013,20:30,T,Olanda
21.03.2013,20:30,N,Brasile
31.05.2013,20:45,C,San Marino
11.06.2013,20:45,N,Haiti
14.08.2013,20:45,C,Argentina
15.11.2013,20:45,C,Germania
15.06.2014,00:00,N,Inghilterra
20.06.2014,18:00,N,Costa Rica
24.06.2014,18:00,N,Uruguay
05.03.2014,22:00,T,Spagna
31.05.2014,20:45,N,Irlanda
04.06.2014,20:45,C,Lussemburgo
04.09.2014,20:45,C,Olanda
18.11.2014,20:45,C,Albania
09.09.2014,20:45,T,Norvegia
10.10.2014,20:45,C,Azerbaijan
13.10.2014,20:45,T,Malta
16.11.2014,20:45,C,Croazia
31.03.2015,20:45,C,Inghilterra
16.06.2015,20:30,N,Portogallo
13.11.2015,20:45,T,Belgio
17.11.2015,20:45,C,Romania
28.03.2015,20:45,T,Bulgaria
12.06.2015,20:45,T,Croazia
03.09.2015,20:45,C,Malta
06.09.2015,20:45,C,Bulgaria
10.10.2015,18:00,T,Azerbaijan
13.10.2015,20:45,C,Norvegia
05.09.2016,20:45,T,Israele
06.10.2016,20:45,C,Spagna
09.10.2016,20:45,T,Macedonia del Nord
12.11.2016,20:45,T,Liechtenstein
24.03.2016,20:45,C,Spagna
29.03.2016,20:45,T,Germania
29.05.2016,20:45,N,Scozia
06.06.2016,20:45,C,Finlandia
01.09.2016,21:00,C,Francia
15.11.2016,20:45,C,Germania
13.06.2016,21:00,N,Belgio
17.06.2016,15:00,N,Svezia
22.06.2016,21:00,N,Irlanda
27.06.2016,18:00,N,Spagna
02.07.2016,21:00,N,Germania
24.03.2017,20:45,C,Albania
11.06.2017,20:45,C,Liechtenstein
02.09.2017,20:45,T,Spagna
05.09.2017,20:45,C,Israele
06.10.2017,20:45,C,Macedonia del Nord
09.10.2017,20:45,T,Albania
10.11.2017,20:45,T,Svezia
13.11.2017,20:45,C,Svezia
28.03.2017,20:45,T,Olanda
31.05.2017,21:30,C,San Marino
07.06.2017,20:45,N,Uruguay
23.03.2018,20:45,N,Argentina
27.03.2018,21:00,T,Inghilterra
28.05.2018,20:45,N,Arabia Saudita
01.06.2018,21:00,T,Francia
04.06.2018,20:45,C,Olanda
10.10.2018,20:45,C,Ucraina
20.11.2018,20:45,N,USA
07.09.2018,20:45,C,Polonia
10.09.2018,20:45,T,Portogallo
14.10.2018,20:45,T,Polonia
17.11.2018,20:45,C,Portogallo
23.03.2019,20:45,C,Finlandia
26.03.2019,20:45,C,Liechtenstein
08.06.2019,20:45,T,Grecia
11.06.2019,20:45,C,Bosnia-Herzegovina
05.09.2019,18:00,T,Armenia
08.09.2019,20:45,T,Finlandia
12.10.2019,20:45,C,Grecia
15.10.2019,20:45,T,Liechtenstein
15.11.2019,20:45,T,Bosnia-Herzegovina
18.11.2019,20:45,C,Armenia
