data,dayname,somma_polli,t_media,t_min,umidità_percentuale,fenomeni,juventus,feste
2015-01-01,giovedì,6,0,-5,81,sole,0,Primo dell'Anno
2015-01-02,venerdì,9,0,-4,85,sole,0,0
2015-01-03,sabato,14,4,-1,78,sole,0,0
2015-01-04,domenica,10,3,-3,68,sole,0,0
2015-01-05,lunedì,14,4,-3,56,sole,0,0
2015-01-06,martedì,13,2,-3,80,sole,0,Epifania
2015-01-07,mercoledì,4,3,-1,83,sole,serie A,0
2015-01-08,giovedì,10,4,1,84,sole,0,0
2015-01-09,venerdì,13,2,-1,91,nebbia ,0,0
2015-01-10,sabato,14,2,-1,90,nebbia ,0,0
2015-01-11,domenica,6,1,-2,91,nebbia ,0,0
2015-01-13,martedì,13,3,-2,70,sole,0,0
2015-01-14,mercoledì,13,4,1,87,nebbia ,0,0
2015-01-15,giovedì,8,4,0,88,pioggia nebbia ,0,0
2015-01-16,venerdì,15,7,4,80,pioggia ,0,0
2015-01-17,sabato,20,9,5,86,pioggia ,0,0
2015-01-18,domenica,18,5,1,80,sole,0,0
2015-01-20,martedì,16,2,-1,89,nebbia ,0,0
2015-01-21,mercoledì,12,4,1,85,pioggia ,0,0
2015-01-22,giovedì,7,6,5,87,pioggia ,0,0
2015-01-23,venerdì,11,6,2,80,sole,0,0
2015-01-24,sabato,28,5,2,75,sole,0,0
2015-01-25,domenica,26,5,2,73,sole,0,0
2015-01-27,martedì,11,1,-2,81,sole,0,0
2015-01-28,mercoledì,18,2,-2,56,sole,0,0
2015-01-29,giovedì,18,1,-2,77,pioggia ,0,0
2015-01-30,venerdì,24,2,-1,82,pioggia ,0,0
2015-01-31,sabato,32,2,-4,68,sole,0,0
2015-02-01,domenica,29,3,-1,67,sole,0,0
2015-02-03,martedì,17,3,-2,68,sole,0,0
2015-02-04,mercoledì,16,6,3,59,sole,0,0
2015-02-05,giovedì,11,5,4,84,sole,0,0
2015-02-06,venerdì,25,3,1,87,sole,0,0
2015-02-07,sabato,28,4,1,76,sole,0,0
2015-02-08,domenica,19,1,-3,88,sole,serie A,0
2015-02-10,martedì,22,2,-3,76,sole,0,0
2015-02-11,mercoledì,19,4,0,82,sole,0,0
2015-02-12,giovedì,19,5,-1,82,sole,0,Giovedì Grasso
2015-02-13,venerdì,22,6,5,80,sole,0,0
2015-02-14,sabato,33,6,4,89,sole,0,San Valentino
2015-02-15,domenica,28,8,6,83,sole,0,Carnevale
2015-02-17,martedì,21,9,4,58,sole,0,Martedì Grasso
2015-02-18,mercoledì,10,6,0,68,sole,0,0
2015-02-19,giovedì,20,4,-1,80,sole,0,0
2015-02-20,venerdì,17,4,-1,84,sole,0,0
2015-02-21,sabato,30,5,2,81,sole,serie A,0
2015-02-22,domenica,36,7,5,89,sole,0,0
2015-02-24,martedì,19,7,4,75,sole,0,0
2015-02-25,mercoledì,13,7,6,75,sole,champions,0
2015-02-26,giovedì,19,8,6,62,sole,0,0
2015-02-27,venerdì,18,8,6,67,sole,0,0
2015-02-28,sabato,33,8,1,71,sole,0,0
2015-03-01,domenica,22,7,2,79,sole,0,0
2015-03-03,martedì,20,8,1,72,nebbia ,serie A,0
2015-03-04,mercoledì,23,8,3,68,pioggia ,0,0
2015-03-05,giovedì,10,8,3,43,sole,0,0
2015-03-06,venerdì,20,7,1,34,sole,0,0
2015-03-07,sabato,37,7,1,57,sole,0,0
2015-03-08,domenica,27,7,1,59,sole,0,0
2015-03-10,martedì,20,8,1,65,sole,serie A,0
2015-03-11,mercoledì,16,10,5,66,sole,0,0
2015-03-12,giovedì,18,9,4,55,sole,0,0
2015-03-13,venerdì,22,8,2,60,sole,0,0
2015-03-14,sabato,41,8,3,62,sole,0,0
2015-03-15,domenica,34,9,3,64,pioggia ,serie A,0
2015-03-17,martedì,15,12,8,70,pioggia ,0,0
2015-03-18,mercoledì,18,10,5,76,sole,0,0
2015-03-19,giovedì,19,10,4,67,sole,champions,Festa di San Giuseppe
2015-03-20,venerdì,17,10,5,61,sole,0,0
2015-03-21,sabato,31,10,6,69,pioggia ,0,0
2015-03-22,domenica,37,9,7,79,pioggia ,0,0
2015-03-24,martedì,21,12,7,64,sole,0,0
2015-03-25,mercoledì,23,12,11,75,pioggia ,0,0
2015-03-26,giovedì,19,11,10,91,pioggia ,0,0
2015-03-27,venerdì,16,12,10,74,sole,0,0
2015-03-28,sabato,39,13,8,33,sole,0,0
2015-03-29,domenica,20,12,6,58,sole,0,Domenica delle Palme
2015-03-31,martedì,16,14,6,71,sole,0,0
2015-04-01,mercoledì,15,13,6,51,nebbia ,0,0
2015-04-02,giovedì,16,12,5,39,sole,0,0
2015-04-03,venerdì,14,11,7,47,sole,0,0
2015-04-04,sabato,17,10,8,53,sole,0,0
2015-04-05,domenica,5,9,6,62,pioggia ,serie A,Pasqua
2015-04-07,martedì,8,10,2,37,sole,0,0
2015-04-08,mercoledì,15,11,2,46,sole,0,0
2015-04-09,giovedì,12,13,6,53,sole,0,0
2015-04-10,venerdì,19,14,7,62,sole,0,0
2015-04-11,sabato,27,13,6,67,sole,0,0
2015-04-12,domenica,28,15,8,67,nebbia ,serie A,0
2015-04-14,martedì,17,17,10,60,sole,0,0
2015-04-15,mercoledì,17,18,10,58,sole,champions,0
2015-04-16,giovedì,18,17,10,65,pioggia ,0,0
2015-04-17,venerdì,25,15,12,84,pioggia ,0,0
2015-04-18,sabato,40,13,8,77,pioggia temporale nebbia ,0,0
2015-04-19,domenica,25,11,7,51,sole,serie A,0
2015-04-21,martedì,21,16,8,52,sole,0,0
2015-04-22,mercoledì,17,18,8,48,sole,0,0
2015-04-23,giovedì,19,17,11,56,sole,champions,0
2015-04-24,venerdì,29,16,10,67,sole,0,0
2015-04-25,sabato,36,15,9,77,pioggia ,0,Anniversario della Liberazione
2015-04-26,domenica,27,16,11,81,pioggia ,0,0
2015-04-28,martedì,26,16,13,79,pioggia ,0,0
2015-04-29,mercoledì,15,15,11,71,sole,0,0
2015-04-30,giovedì,18,15,12,74,pioggia ,serie A,0
2015-05-01,venerdì,29,13,10,91,pioggia ,0,Festa dei Lavoratori
2015-05-02,sabato,22,17,12,80,pioggia nebbia ,0,0
2015-05-03,domenica,29,18,15,80,pioggia ,serie A,0
2015-05-05,martedì,23,20,15,77,nebbia ,0,0
2015-05-06,mercoledì,25,20,16,72,sole,champions,0
2015-05-07,giovedì,24,21,16,62,sole,0,0
2015-05-08,venerdì,27,21,15,62,pioggia temporale ,0,0
2015-05-09,sabato,38,20,15,65,sole,0,0
2015-05-10,domenica,29,22,15,50,sole,serie A,Festa della Mamma
2015-05-12,martedì,16,22,15,53,sole,0,0
2015-05-13,mercoledì,16,21,15,62,sole,0,0
2015-05-14,giovedì,10,22,15,70,sole,champions,0
2015-05-15,venerdì,17,19,17,76,pioggia temporale ,0,0
2015-05-16,sabato,27,20,15,74,pioggia temporale ,0,0
2015-05-17,domenica,23,23,16,56,sole,serie A,0
2015-05-19,martedì,16,23,18,62,pioggia temporale ,0,0
2015-05-20,mercoledì,24,19,15,77,pioggia ,0,0
2015-05-21,giovedì,24,14,11,85,pioggia temporale ,0,0
2015-05-22,venerdì,17,14,12,83,pioggia ,0,0
2015-05-23,sabato,33,14,12,87,pioggia ,0,0
2015-05-24,domenica,29,17,13,65,pioggia ,serie A,Pentecoste
2015-05-26,martedì,22,18,15,78,pioggia temporale ,0,0
2015-05-27,mercoledì,22,18,15,67,pioggia ,0,0
2015-05-28,giovedì,23,19,14,59,sole,0,0
2015-05-29,venerdì,17,19,13,59,sole,0,0
2015-05-30,sabato,32,21,15,65,sole,0,0
2015-05-31,domenica,20,21,17,69,sole,serie A,0
2015-06-01,lunedì,15,22,16,65,sole,0,0
2015-06-02,martedì,24,24,18,62,sole,0,Festa della Repubblica
2015-06-03,mercoledì,17,25,18,62,sole,0,0
2015-06-04,giovedì,24,27,22,59,sole,0,0
2015-06-05,venerdì,22,27,21,61,sole,0,0
2015-06-06,sabato,31,28,23,63,sole,0,0
2015-06-07,domenica,25,28,22,54,sole,champions,0
2015-06-09,martedì,25,24,17,60,sole,0,0
2015-06-10,mercoledì,22,25,20,60,sole,0,0
2015-06-11,giovedì,21,25,18,60,sole,0,0
