,data,t_media,dayname,somma_polli,feste,fenomeni,Chievo,Hellas,Inter,Italia,Juventus,Lazio,Milan,Napoli
0,2015-01-01,0,giovedì,6,Primo dell'Anno,sole,0,0,0,0,0,0,0,0
1,2015-01-02,0,venerdì,9,0,sole,1,0,1,0,1,1,1,1
2,2015-01-03,4,sabato,14,0,sole,0,0,1,0,0,1,0,1
3,2015-01-04,3,domenica,10,0,sole,0,0,0,0,0,0,0,0
4,2015-01-05,4,lunedì,14,0,sole,0,0,0,0,0,0,0,0
5,2015-01-06,2,martedì,13,Epifania,sole,0,0,0,0,0,0,0,0
6,2015-01-07,3,mercoledì,4,0,sole,0,0,0,0,0,0,0,0
7,2015-01-08,4,giovedì,10,0,sole,0,0,0,0,0,0,0,0
8,2015-01-09,2,venerdì,13,0,nebbia ,0,0,0,0,0,0,0,0
9,2015-01-10,2,sabato,14,0,nebbia ,0,0,0,0,0,0,0,0
10,2015-01-11,1,domenica,6,0,nebbia ,0,0,0,0,0,1,1,1
11,2015-01-13,3,martedì,13,0,sole,0,0,0,0,0,0,0,0
12,2015-01-14,4,mercoledì,13,0,nebbia ,0,0,0,0,0,0,0,0
13,2015-01-15,4,giovedì,8,0,pioggia nebbia ,0,0,0,0,0,0,0,0
14,2015-01-16,7,venerdì,15,0,pioggia ,0,0,0,0,0,0,0,0
15,2015-01-17,9,sabato,20,0,pioggia ,0,0,1,0,0,0,0,0
16,2015-01-18,5,domenica,18,0,sole,1,0,0,0,1,1,1,1
17,2015-01-20,2,martedì,16,0,nebbia ,0,0,0,0,0,0,0,0
18,2015-01-21,4,mercoledì,12,0,pioggia ,0,0,0,0,0,0,0,0
19,2015-01-22,6,giovedì,7,0,pioggia ,0,0,0,0,0,0,0,0
20,2015-01-23,6,venerdì,11,0,sole,0,0,0,0,0,0,0,0
21,2015-01-24,5,sabato,28,0,sole,0,0,0,0,0,1,1,0
22,2015-01-25,5,domenica,26,0,sole,1,0,1,0,1,0,0,0
23,2015-01-27,1,martedì,11,0,sole,0,0,0,0,0,0,0,0
24,2015-01-28,2,mercoledì,18,0,sole,0,0,0,0,0,0,0,0
25,2015-01-29,1,giovedì,18,0,pioggia ,0,0,0,0,0,0,0,0
26,2015-01-30,2,venerdì,24,0,pioggia ,0,0,0,0,0,0,0,0
27,2015-01-31,2,sabato,32,0,sole,0,0,0,0,0,0,0,0
28,2015-02-01,3,domenica,29,0,sole,0,0,0,0,0,0,0,0
29,2015-02-03,3,martedì,17,0,sole,0,0,0,0,1,0,0,0
30,2015-02-04,6,mercoledì,16,0,sole,0,0,0,0,0,0,0,0
31,2015-02-05,5,giovedì,11,0,sole,0,0,0,0,1,0,0,0
32,2015-02-06,3,venerdì,25,0,sole,0,0,0,0,0,0,0,0
33,2015-02-07,4,sabato,28,0,sole,0,0,0,0,0,0,0,0
34,2015-02-08,1,domenica,19,0,sole,0,0,0,0,0,0,0,0
35,2015-02-10,2,martedì,22,0,sole,0,0,0,0,0,0,0,0
36,2015-02-11,4,mercoledì,19,0,sole,1,0,0,0,0,0,0,0
37,2015-02-12,5,giovedì,19,Giovedì Grasso,sole,0,0,0,0,0,0,0,0
38,2015-02-13,6,venerdì,22,0,sole,0,0,0,0,0,0,0,0
39,2015-02-14,6,sabato,33,San Valentino,sole,0,0,0,0,0,0,0,1
40,2015-02-15,8,domenica,28,Carnevale,sole,1,0,1,0,1,1,1,0
41,2015-02-17,9,martedì,21,Martedì Grasso,sole,0,0,0,0,0,0,0,0
42,2015-02-18,6,mercoledì,10,0,sole,0,0,0,0,0,0,0,0
43,2015-02-19,4,giovedì,20,0,sole,0,0,0,0,0,0,0,0
44,2015-02-20,4,venerdì,17,0,sole,0,0,0,0,1,0,0,0
45,2015-02-21,5,sabato,30,0,sole,0,0,0,0,0,0,0,0
46,2015-02-22,7,domenica,36,0,sole,1,0,0,0,0,1,1,0
47,2015-02-24,7,martedì,19,0,sole,0,0,0,0,0,0,0,0
48,2015-02-25,7,mercoledì,13,0,sole,0,0,0,0,0,0,0,0
