,data,dayname,somma_polli,t_media,fenomeni,feste,team1,team2,championship,avversario,Italia
0,2015-01-01,giovedì,6,0,sole,Primo dell'Anno,-,-,-,-,-
1,2015-01-02,venerdì,9,0,sole,0,Udinese,Juventus,A,-,-
1,2015-01-02,venerdì,9,0,sole,0,Chievo,Napoli,A,-,-
1,2015-01-02,venerdì,9,0,sole,0,Cesena,Lazio,A,-,-
1,2015-01-02,venerdì,9,0,sole,0,Milan,Parma,A,-,-
1,2015-01-02,venerdì,9,0,sole,0,Sassuolo,Inter,A,-,-
2,2015-01-03,sabato,14,4,sole,0,Sassuolo,Lazio,A,-,-
2,2015-01-03,sabato,14,4,sole,0,Inter,Fiorentina,A,-,-
2,2015-01-03,sabato,14,4,sole,0,Torino,Napoli,A,-,-
3,2015-01-04,domenica,10,3,sole,0,-,-,-,-,-
4,2015-01-05,lunedì,14,4,sole,0,-,-,-,-,-
5,2015-01-06,martedì,13,2,sole,Epifania,-,-,-,-,-
6,2015-01-07,mercoledì,4,3,sole,0,-,-,-,-,-
7,2015-01-08,giovedì,10,4,sole,0,-,-,-,-,-
8,2015-01-09,venerdì,13,2,nebbia ,0,-,-,-,-,-
9,2015-01-10,sabato,14,2,nebbia ,0,-,-,-,-,-
10,2015-01-11,domenica,6,1,nebbia ,0,Genoa,Napoli,A,-,-
10,2015-01-11,domenica,6,1,nebbia ,0,Lazio,Milan,A,-,-
11,2015-01-13,martedì,13,3,sole,0,-,-,-,-,-
12,2015-01-14,mercoledì,13,4,nebbia ,0,-,-,-,-,-
13,2015-01-15,giovedì,8,4,pioggia nebbia ,0,-,-,-,-,-
14,2015-01-16,venerdì,15,7,pioggia ,0,-,-,-,-,-
15,2015-01-17,sabato,20,9,pioggia ,0,Empoli,Inter,A,-,-
16,2015-01-18,domenica,18,5,sole,0,Lazio,Napoli,A,-,-
16,2015-01-18,domenica,18,5,sole,0,Milan,Atalanta,A,-,-
16,2015-01-18,domenica,18,5,sole,0,Chievo,Fiorentina,A,-,-
16,2015-01-18,domenica,18,5,sole,0,Juventus,Verona,A,-,-
17,2015-01-20,martedì,16,2,nebbia ,0,-,-,-,-,-
18,2015-01-21,mercoledì,12,4,pioggia ,0,-,-,-,-,-
19,2015-01-22,giovedì,7,6,pioggia ,0,-,-,-,-,-
20,2015-01-23,venerdì,11,6,sole,0,-,-,-,-,-
21,2015-01-24,sabato,28,5,sole,0,Lazio,Milan,A,-,-
22,2015-01-25,domenica,26,5,sole,0,Inter,Torino,A,-,-
22,2015-01-25,domenica,26,5,sole,0,Juventus,Chievo,A,-,-
23,2015-01-27,martedì,11,1,sole,0,-,-,-,-,-
24,2015-01-28,mercoledì,18,2,sole,0,-,-,-,-,-
25,2015-01-29,giovedì,18,1,pioggia ,0,-,-,-,-,-
26,2015-01-30,venerdì,24,2,pioggia ,0,-,-,-,-,-
27,2015-01-31,sabato,32,2,sole,0,-,-,-,-,-
28,2015-02-01,domenica,29,3,sole,0,-,-,-,-,-
29,2015-02-03,martedì,17,3,sole,0,Roma,Juventus,A,-,-
30,2015-02-04,mercoledì,16,6,sole,0,-,-,-,-,-
31,2015-02-05,giovedì,11,5,sole,0,Sampdoria,Juventus,A,-,-
32,2015-02-06,venerdì,25,3,sole,0,-,-,-,-,-
33,2015-02-07,sabato,28,4,sole,0,-,-,-,-,-
34,2015-02-08,domenica,19,1,sole,0,-,-,-,-,-
35,2015-02-10,martedì,22,2,sole,0,-,-,-,-,-
36,2015-02-11,mercoledì,19,4,sole,0,Chievo,Sampdoria,A,-,-
37,2015-02-12,giovedì,19,5,sole,Giovedì Grasso,-,-,-,-,-
38,2015-02-13,venerdì,22,6,sole,0,-,-,-,-,-
39,2015-02-14,sabato,33,6,sole,San Valentino,Palermo,Napoli,A,-,-
40,2015-02-15,domenica,28,8,sole,Carnevale,Udinese,Lazio,A,-,-
40,2015-02-15,domenica,28,8,sole,Carnevale,Milan,Empoli,A,-,-
40,2015-02-15,domenica,28,8,sole,Carnevale,Atalanta,Inter,A,-,-
40,2015-02-15,domenica,28,8,sole,Carnevale,Cesena,Juventus,A,-,-
40,2015-02-15,domenica,28,8,sole,Carnevale,Chievo,Sampdoria,A,-,-
41,2015-02-17,martedì,21,9,sole,Martedì Grasso,-,-,-,-,-
42,2015-02-18,mercoledì,10,6,sole,0,-,-,-,-,-
43,2015-02-19,giovedì,20,4,sole,0,-,-,-,-,-
44,2015-02-20,venerdì,17,4,sole,0,Juventus,Atalanta,A,-,-
45,2015-02-21,sabato,30,5,sole,0,-,-,-,-,-
46,2015-02-22,domenica,36,7,sole,0,Milan,Cesena,A,-,-
46,2015-02-22,domenica,36,7,sole,0,Lazio,Palermo,A,-,-
46,2015-02-22,domenica,36,7,sole,0,Empoli,Chievo,A,-,-
47,2015-02-24,martedì,19,7,sole,0,-,-,-,-,-
48,2015-02-25,mercoledì,13,7,sole,0,-,-,-,-,-
49,2015-02-26,giovedì,19,8,sole,0,-,-,-,-,-
50,2015-02-27,venerdì,18,8,sole,0,-,-,-,-,-
51,2015-02-28,sabato,33,8,sole,0,Chievo,Milan,A,-,-
52,2015-03-01,domenica,22,7,sole,0,-,-,-,-,-
53,2015-03-03,martedì,20,8,nebbia ,0,-,-,-,-,-
54,2015-03-04,mercoledì,23,8,pioggia ,0,-,-,-,-,-
55,2015-03-05,giovedì,10,8,sole,0,Inter,Chievo,A,-,-
55,2015-03-05,giovedì,10,8,sole,0,Atalanta,Lazio,A,-,-
55,2015-03-05,giovedì,10,8,sole,0,Napoli,Milan,A,-,-
56,2015-03-06,venerdì,20,7,sole,0,-,-,-,-,-
57,2015-03-07,sabato,37,7,sole,0,-,-,-,-,-
58,2015-03-08,domenica,27,7,sole,0,-,-,-,-,-
59,2015-03-10,martedì,20,8,sole,0,Chievo,Verona,A,-,-
60,2015-03-11,mercoledì,16,10,sole,0,-,-,-,-,-
61,2015-03-12,giovedì,18,9,sole,0,-,-,-,-,-
62,2015-03-13,venerdì,22,8,sole,0,-,-,-,-,-
63,2015-03-14,sabato,41,8,sole,0,Palermo,Juventus,A,-,-
64,2015-03-15,domenica,34,9,pioggia ,0,Genoa,Chievo,A,-,-
64,2015-03-15,domenica,34,9,pioggia ,0,Inter,Cesena,A,-,-
64,2015-03-15,domenica,34,9,pioggia ,0,Verona,Napoli,A,-,-
65,2015-03-17,martedì,15,12,pioggia ,0,-,-,-,-,-
66,2015-03-18,mercoledì,18,10,sole,0,-,-,-,-,-
67,2015-03-19,giovedì,19,10,sole,Festa di San Giuseppe,-,-,-,-,-
68,2015-03-20,venerdì,17,10,sole,0,-,-,-,-,-
69,2015-03-21,sabato,31,10,pioggia ,0,Chievo,Palermo,A,-,-
69,2015-03-21,sabato,31,10,pioggia ,0,Milan,Cagliari,A,-,-
70,2015-03-22,domenica,37,9,pioggia ,0,Sampdoria,Inter,A,-,-
70,2015-03-22,domenica,37,9,pioggia ,0,Napoli,Atalanta,A,-,-
70,2015-03-22,domenica,37,9,pioggia ,0,Juventus,Genoa,A,-,-
70,2015-03-22,domenica,37,9,pioggia ,0,Lazio,Verona,A,-,-
71,2015-03-24,martedì,21,12,sole,0,-,-,-,-,-
72,2015-03-25,mercoledì,23,12,pioggia ,0,-,-,-,-,-
73,2015-03-26,giovedì,19,11,pioggia ,0,-,-,-,-,-
74,2015-03-27,venerdì,16,12,sole,0,-,-,-,-,-
75,2015-03-28,sabato,39,13,sole,0,-,-,-,Bulgaria,Italia
76,2015-03-29,domenica,20,12,sole,Domenica delle Palme,-,-,-,-,-
77,2015-03-31,martedì,16,14,sole,0,-,-,-,Inghilterra,Italia
78,2015-04-01,mercoledì,15,13,nebbia ,0,-,-,-,-,-
79,2015-04-02,giovedì,16,12,sole,0,-,-,-,-,-
80,2015-04-03,venerdì,14,11,sole,0,-,-,-,-,-
81,2015-04-04,sabato,17,10,sole,0,Sassuolo,Chievo,A,-,-
81,2015-04-04,sabato,17,10,sole,0,Roma,Napoli,A,-,-
81,2015-04-04,sabato,17,10,sole,0,Cagliari,Lazio,A,-,-
81,2015-04-04,sabato,17,10,sole,0,Inter,Parma,A,-,-
81,2015-04-04,sabato,17,10,sole,0,Palermo,Milan,A,-,-
81,2015-04-04,sabato,17,10,sole,0,Juventus,Empoli,A,-,-
82,2015-04-05,domenica,5,9,pioggia ,Pasqua,-,-,-,-,-
83,2015-04-07,martedì,8,10,sole,0,-,-,-,-,-
84,2015-04-08,mercoledì,15,11,sole,0,-,-,-,-,-
85,2015-04-09,giovedì,12,13,sole,0,-,-,-,-,-
86,2015-04-10,venerdì,19,14,sole,0,Milan,Napoli,A,-,-
86,2015-04-10,venerdì,19,14,sole,0,Sampdoria,Inter,A,-,-
86,2015-04-10,venerdì,19,14,sole,0,Lazio,Frosinone,A,-,-
86,2015-04-10,venerdì,19,14,sole,0,Juventus,Bologna,A,-,-
87,2015-04-11,sabato,27,13,sole,0,-,-,-,-,-
