date,team1,team2,score,championship
2012-01-09,Bologna,Milan,1-3,A
2012-01-09,Torino,Pescara,3-0,A
2012-01-09,Ternana,Modena,0-1,B
2012-01-09,Lanciano,Varese,1-2,B
2012-01-09,Reggina,Pro Vercelli,1-0,B
2012-01-09,Verona,Spezia,1-1,B
2012-01-09,Ascoli,Bari,1-3,B
2012-01-09,Novara,Empoli,2-2,B
2012-01-09,Sassuolo,Crotone,2-1,B
2012-01-09,Brescia,Juve Stabia,2-0,B
2012-01-09,Cittadella,Grosseto,2-1,B
2012-01-09,Vicenza,Cesena,3-1,B
2012-01-10,Cesena,Varese,2-0,B
2012-01-10,Cittadella,Pro Vercelli,3-0,B
2012-01-11,Genoa,Fiorentina,0-1,A
2012-01-12,Juventus,Torino,3-0,A
2012-01-12,Juve Stabia,Cittadella,1-1,B
2012-01-12,Modena,Novara,1-0,B
2012-01-12,Padova,Ascoli,1-1,B
2012-01-12,Varese,Ternana,1-0,B
2012-01-12,Brescia,Verona,2-0,B
2012-01-12,Empoli,Spezia,2-2,B
2012-01-12,Pro Vercelli,Vicenza,2-1,B
2012-01-12,Bari,Sassuolo,3-3,B
2012-01-12,Lanciano,Cesena,3-3,B
2012-01-12,Livorno,Grosseto,4-0,B
2012-02-09,Udinese,Juventus,1-4,A
2012-02-09,Inter,Roma,1-3,A
2012-02-09,Cagliari,Atalanta,1-1,A
2012-02-09,Napoli,Fiorentina,2-1,A
2012-02-09,Sampdoria,Siena,2-1,A
2012-02-09,Parma,Chievo,2-0,A
2012-02-09,Catania,Genoa,3-2,A
2012-02-09,Lazio,Palermo,3-0,A
2012-02-12,Siena,Roma,1-3,A
2012-02-12,Inter,Palermo,1-0,A
2012-02-12,Lazio,Parma,2-1,A
2012-02-12,Fiorentina,Sampdoria,2-2,A
2012-02-12,Bologna,Atalanta,2-1,A
2012-02-12,Genoa,Chievo,2-4,A
2012-02-12,Udinese,Cagliari,4-1,A
2012-02-12,Napoli,Pescara,5-1,A
2012-03-09,Livorno,Padova,3-2,B
2012-03-11,Juventus,Inter,1-3,A
2012-03-11,Milan,Chievo,5-1,A
2012-03-11,Vicenza,Lanciano,0-1,B
2012-03-11,Novara,Cittadella,0-1,B
2012-03-11,Padova,Cesena,1-1,B
2012-03-11,Reggina,Varese,1-1,B
2012-03-11,Brescia,Ternana,1-0,B
2012-03-11,Livorno,Bari,2-1,B
2012-03-11,Spezia,Crotone,2-1,B
2012-03-11,Grosseto,Ascoli,2-1,B
2012-03-11,Empoli,Pro Vercelli,2-1,B
2012-03-12,Reggina,Crotone,1-1,B
2012-04-11,Bologna,Udinese,1-1,A
2012-04-11,Napoli,Torino,1-1,A
2012-04-11,Siena,Genoa,1-0,A
2012-04-11,Sampdoria,Atalanta,1-2,A
2012-04-11,Pescara,Parma,2-0,A
2012-04-11,Fiorentina,Cagliari,4-1,A
2012-04-11,Catania,Lazio,4-0,A
2012-04-11,Roma,Palermo,4-1,A
2012-05-10,Padova,Verona,2-1,B
2012-05-11,Modena,Juve Stabia,1-0,B
2012-05-11,Verona,Sassuolo,1-0,B
2012-06-10,Genoa,Palermo,1-1,A
2012-06-10,Chievo,Sampdoria,2-1,A
2012-06-10,Grosseto,Sassuolo,1-2,B
2012-06-10,Bari,Vicenza,1-0,B
2012-06-10,Reggina,Novara,1-0,B
2012-06-10,Pro Vercelli,Juve Stabia,1-4,B
2012-06-10,Varese,Empoli,2-2,B
2012-06-10,Ascoli,Crotone,2-0,B
2012-06-10,Brescia,Lanciano,2-0,B
2012-06-10,Ternana,Cittadella,3-1,B
2012-06-10,Modena,Cesena,4-0,B
2012-07-10,Milan,Inter,0-1,A
2012-07-10,Torino,Cagliari,0-1,A
2012-07-10,Pescara,Lazio,0-3,A
2012-07-10,Fiorentina,Bologna,1-0,A
2012-07-10,Siena,Juventus,1-2,A
2012-07-10,Catania,Parma,2-0,A
2012-07-10,Napoli,Udinese,2-1,A
2012-07-10,Roma,Atalanta,2-0,A
2012-07-12,Sassuolo,Modena,2-0,B
2012-08-09,Modena,Varese,1-2,B
2012-08-09,Verona,Reggina,2-0,B
2012-08-10,Livorno,Spezia,1-5,B
2012-08-12,Atalanta,Parma,2-1,A
2012-08-12,Roma,Fiorentina,4-2,A
2012-08-12,Crotone,Lanciano,0-0,B
2012-08-12,Brescia,Reggina,2-2,B
2012-08-12,Grosseto,Pro Vercelli,3-0,B
2012-08-12,Vicenza,Livorno,3-3,B
2012-08-12,Novara,Padova,3-1,B
2012-08-12,Ternana,Juve Stabia,3-2,B
2012-08-12,Verona,Ascoli,3-1,B
2012-08-12,Spezia,Bari,3-2,B
2012-08-24,Modena,Verona,1-1,B
2012-08-25,Fiorentina,Udinese,2-1,A
2012-08-25,Juventus,Parma,2-0,A
2012-08-25,Pro Vercelli,Ternana,1-0,B
2012-08-25,Padova,Lanciano,1-1,B
2012-08-25,Juve Stabia,Livorno,1-3,B
2012-08-25,Grosseto,Novara,1-1,B
2012-08-25,Crotone,Brescia,1-0,B
2012-08-25,Empoli,Reggina,1-1,B
2012-08-25,Varese,Ascoli,2-0,B
2012-08-25,Bari,Cittadella,2-1,B
2012-08-25,Spezia,Vicenza,2-1,B
2012-08-26,Milan,Sampdoria,0-1,A
2012-08-26,Siena,Torino,0-0,A
2012-08-26,Pescara,Inter,0-3,A
2012-08-26,Palermo,Napoli,0-3,A
2012-08-26,Atalanta,Lazio,0-1,A
2012-08-26,Roma,Catania,2-2,A
2012-08-26,Genoa,Cagliari,2-0,A
2012-08-26,Chievo,Bologna,2-0,A
2012-08-27,Cesena,Sassuolo,0-3,B
2012-09-09,Empoli,Sassuolo,0-3,B
2012-09-09,Pro Vercelli,Livorno,1-2,B
2012-09-09,Juve Stabia,Vicenza,1-1,B
2012-09-09,Padova,Grosseto,1-1,B
2012-09-09,Lanciano,Ascoli,1-1,B
2012-09-09,Cesena,Novara,1-4,B
2012-09-09,Bari,Ternana,2-0,B
2012-09-09,Crotone,Cittadella,3-1,B
2012-09-09,Spezia,Brescia,3-1,B
2012-09-11,Grosseto,Spezia,1-1,B
2012-09-12,Palermo,Juventus,0-1,A
2012-09-12,Cagliari,Chievo,0-2,A
2012-09-12,Siena,Catania,1-3,A
2012-09-12,Inter,Napoli,2-1,A
2012-09-12,Pescara,Genoa,2-0,A
2012-09-12,Torino,Milan,2-4,A
2012-09-12,Cittadella,Varese,0-1,B
2012-09-12,Cesena,Empoli,1-3,B
2012-09-14,Brescia,Padova,0-0,B
2012-09-15,Milan,Atalanta,0-1,A
2012-09-15,Palermo,Cagliari,1-1,A
2012-09-15,Ternana,Cesena,0-0,B
2012-09-15,Novara,Juve Stabia,1-1,B
2012-09-15,Cittadella,Lanciano,1-0,B
2012-09-15,Grosseto,Crotone,1-0,B
2012-09-15,Sassuolo,Pro Vercelli,2-1,B
2012-09-15,Reggina,Modena,2-2,B
2012-09-15,Vicenza,Verona,2-3,B
2012-09-15,Ascoli,Spezia,2-0,B
2012-09-15,Livorno,Empoli,4-2,B
2012-09-16,Torino,Inter,0-2,A
2012-09-16,Genoa,Juventus,1-3,A
2012-09-16,Chievo,Lazio,1-3,A
2012-09-16,Fiorentina,Catania,2-0,A
2012-09-16,Siena,Udinese,2-2,A
2012-09-16,Roma,Bologna,2-3,A
2012-09-16,Pescara,Sampdoria,2-3,A
2012-09-16,Napoli,Parma,3-1,A
2012-09-17,Varese,Bari,2-2,B
2012-09-21,Empoli,Ternana,0-2,B
2012-09-21,Verona,Novara,1-1,B
2012-09-22,Parma,Fiorentina,1-1,A
2012-09-22,Juventus,Chievo,2-0,A
2012-09-22,Spezia,Sassuolo,0-2,B
2012-09-22,Crotone,Bari,0-0,B
2012-09-22,Juve Stabia,Varese,1-2,B
