,data,dayname,somma_polli,t_media,t_min,umidità_percentuale,fenomeni,juventus,feste,team1,team2,score,championship
0,2015-01-01,giovedì,6,0,-5,81,sole,0,Primo dell'Anno,-,-,-,-
1,2015-01-02,venerdì,9,0,-4,85,sole,0,0,Udinese,Juventus,0-0,A
1,2015-01-02,venerdì,9,0,-4,85,sole,0,0,Chievo,Napoli,1-2,A
1,2015-01-02,venerdì,9,0,-4,85,sole,0,0,Cesena,Lazio,2-1,A
1,2015-01-02,venerdì,9,0,-4,85,sole,0,0,Sassuolo,Inter,3-1,A
2,2015-01-03,sabato,14,4,-1,78,sole,0,0,Sassuolo,Lazio,0-3,A
2,2015-01-03,sabato,14,4,-1,78,sole,0,0,Inter,Fiorentina,0-1,A
2,2015-01-03,sabato,14,4,-1,78,sole,0,0,Torino,Napoli,1-0,A
3,2015-01-04,domenica,10,3,-3,68,sole,0,0,-,-,-,-
4,2015-01-05,lunedì,14,4,-3,56,sole,0,0,-,-,-,-
5,2015-01-06,martedì,13,2,-3,80,sole,0,Epifania,-,-,-,-
6,2015-01-07,mercoledì,4,3,-1,83,sole,serie A,0,-,-,-,-
7,2015-01-08,giovedì,10,4,1,84,sole,0,0,-,-,-,-
8,2015-01-09,venerdì,13,2,-1,91,nebbia ,0,0,-,-,-,-
9,2015-01-10,sabato,14,2,-1,90,nebbia ,0,0,-,-,-,-
10,2015-01-11,domenica,6,1,-2,91,nebbia ,0,0,Genoa,Napoli,0-0,A
10,2015-01-11,domenica,6,1,-2,91,nebbia ,0,0,Lazio,Milan,1-3,A
11,2015-01-13,martedì,13,3,-2,70,sole,0,0,-,-,-,-
12,2015-01-14,mercoledì,13,4,1,87,nebbia ,0,0,-,-,-,-
13,2015-01-15,giovedì,8,4,0,88,pioggia nebbia ,0,0,-,-,-,-
14,2015-01-16,venerdì,15,7,4,80,pioggia ,0,0,-,-,-,-
15,2015-01-17,sabato,20,9,5,86,pioggia ,0,0,Empoli,Inter,0-0,A
16,2015-01-18,domenica,18,5,1,80,sole,0,0,Lazio,Napoli,0-1,A
16,2015-01-18,domenica,18,5,1,80,sole,0,0,Chievo,Fiorentina,1-2,A
16,2015-01-18,domenica,18,5,1,80,sole,0,0,Juventus,Verona,4-0,A
17,2015-01-20,martedì,16,2,-1,89,nebbia ,0,0,-,-,-,-
18,2015-01-21,mercoledì,12,4,1,85,pioggia ,0,0,-,-,-,-
19,2015-01-22,giovedì,7,6,5,87,pioggia ,0,0,-,-,-,-
20,2015-01-23,venerdì,11,6,2,80,sole,0,0,-,-,-,-
21,2015-01-24,sabato,28,5,2,75,sole,0,0,Lazio,Milan,3-1,A
22,2015-01-25,domenica,26,5,2,73,sole,0,0,Inter,Torino,0-1,A
22,2015-01-25,domenica,26,5,2,73,sole,0,0,Juventus,Chievo,2-0,A
23,2015-01-27,martedì,11,1,-2,81,sole,0,0,-,-,-,-
24,2015-01-28,mercoledì,18,2,-2,56,sole,0,0,-,-,-,-
25,2015-01-29,giovedì,18,1,-2,77,pioggia ,0,0,-,-,-,-
26,2015-01-30,venerdì,24,2,-1,82,pioggia ,0,0,-,-,-,-
27,2015-01-31,sabato,32,2,-4,68,sole,0,0,-,-,-,-
28,2015-02-01,domenica,29,3,-1,67,sole,0,0,-,-,-,-
29,2015-02-03,martedì,17,3,-2,68,sole,0,0,Roma,Juventus,1-1,A
30,2015-02-04,mercoledì,16,6,3,59,sole,0,0,-,-,-,-
31,2015-02-05,giovedì,11,5,4,84,sole,0,0,Sampdoria,Juventus,0-1,A
32,2015-02-06,venerdì,25,3,1,87,sole,0,0,-,-,-,-
33,2015-02-07,sabato,28,4,1,76,sole,0,0,-,-,-,-
34,2015-02-08,domenica,19,1,-3,88,sole,serie A,0,-,-,-,-
35,2015-02-10,martedì,22,2,-3,76,sole,0,0,-,-,-,-
36,2015-02-11,mercoledì,19,4,0,82,sole,0,0,Chievo,Sampdoria,1-1,A
37,2015-02-12,giovedì,19,5,-1,82,sole,0,Giovedì Grasso,-,-,-,-
38,2015-02-13,venerdì,22,6,5,80,sole,0,0,-,-,-,-
39,2015-02-14,sabato,33,6,4,89,sole,0,San Valentino,Palermo,Napoli,3-1,A
40,2015-02-15,domenica,28,8,6,83,sole,0,Carnevale,Udinese,Lazio,0-1,A
40,2015-02-15,domenica,28,8,6,83,sole,0,Carnevale,Atalanta,Inter,1-4,A
40,2015-02-15,domenica,28,8,6,83,sole,0,Carnevale,Cesena,Juventus,2-2,A
40,2015-02-15,domenica,28,8,6,83,sole,0,Carnevale,Chievo,Sampdoria,2-1,A
41,2015-02-17,martedì,21,9,4,58,sole,0,Martedì Grasso,-,-,-,-
42,2015-02-18,mercoledì,10,6,0,68,sole,0,0,-,-,-,-
43,2015-02-19,giovedì,20,4,-1,80,sole,0,0,-,-,-,-
44,2015-02-20,venerdì,17,4,-1,84,sole,0,0,Juventus,Atalanta,2-1,A
45,2015-02-21,sabato,30,5,2,81,sole,serie A,0,-,-,-,-
46,2015-02-22,domenica,36,7,5,89,sole,0,0,Lazio,Palermo,2-1,A
46,2015-02-22,domenica,36,7,5,89,sole,0,0,Empoli,Chievo,3-0,A
47,2015-02-24,martedì,19,7,4,75,sole,0,0,-,-,-,-
48,2015-02-25,mercoledì,13,7,6,75,sole,champions,0,-,-,-,-
49,2015-02-26,giovedì,19,8,6,62,sole,0,0,-,-,-,-
50,2015-02-27,venerdì,18,8,6,67,sole,0,0,-,-,-,-
51,2015-02-28,sabato,33,8,1,71,sole,0,0,Chievo,Milan,0-0,A
52,2015-03-01,domenica,22,7,2,79,sole,0,0,-,-,-,-
53,2015-03-03,martedì,20,8,1,72,nebbia ,serie A,0,-,-,-,-
54,2015-03-04,mercoledì,23,8,3,68,pioggia ,0,0,-,-,-,-
55,2015-03-05,giovedì,10,8,3,43,sole,0,0,Inter,Chievo,0-0,A
55,2015-03-05,giovedì,10,8,3,43,sole,0,0,Atalanta,Lazio,1-1,A
55,2015-03-05,giovedì,10,8,3,43,sole,0,0,Napoli,Milan,3-0,A
56,2015-03-06,venerdì,20,7,1,34,sole,0,0,-,-,-,-
57,2015-03-07,sabato,37,7,1,57,sole,0,0,-,-,-,-
58,2015-03-08,domenica,27,7,1,59,sole,0,0,-,-,-,-
59,2015-03-10,martedì,20,8,1,65,sole,serie A,0,Chievo,Verona,1-1,A
60,2015-03-11,mercoledì,16,10,5,66,sole,0,0,-,-,-,-
61,2015-03-12,giovedì,18,9,4,55,sole,0,0,-,-,-,-
62,2015-03-13,venerdì,22,8,2,60,sole,0,0,-,-,-,-
63,2015-03-14,sabato,41,8,3,62,sole,0,0,Palermo,Juventus,0-1,A
64,2015-03-15,domenica,34,9,3,64,pioggia ,serie A,0,Genoa,Chievo,0-2,A
64,2015-03-15,domenica,34,9,3,64,pioggia ,serie A,0,Inter,Cesena,1-1,A
64,2015-03-15,domenica,34,9,3,64,pioggia ,serie A,0,Verona,Napoli,2-0,A
65,2015-03-17,martedì,15,12,8,70,pioggia ,0,0,-,-,-,-
66,2015-03-18,mercoledì,18,10,5,76,sole,0,0,-,-,-,-
67,2015-03-19,giovedì,19,10,4,67,sole,champions,Festa di San Giuseppe,-,-,-,-
68,2015-03-20,venerdì,17,10,5,61,sole,0,0,-,-,-,-
69,2015-03-21,sabato,31,10,6,69,pioggia ,0,0,Chievo,Palermo,1-0,A
70,2015-03-22,domenica,37,9,7,79,pioggia ,0,0,Sampdoria,Inter,1-0,A
70,2015-03-22,domenica,37,9,7,79,pioggia ,0,0,Napoli,Atalanta,1-1,A
70,2015-03-22,domenica,37,9,7,79,pioggia ,0,0,Juventus,Genoa,1-0,A
70,2015-03-22,domenica,37,9,7,79,pioggia ,0,0,Lazio,Verona,2-0,A
71,2015-03-24,martedì,21,12,7,64,sole,0,0,-,-,-,-
72,2015-03-25,mercoledì,23,12,11,75,pioggia ,0,0,-,-,-,-
73,2015-03-26,giovedì,19,11,10,91,pioggia ,0,0,-,-,-,-
74,2015-03-27,venerdì,16,12,10,74,sole,0,0,-,-,-,-
75,2015-03-28,sabato,39,13,8,33,sole,0,0,-,-,-,-
76,2015-03-29,domenica,20,12,6,58,sole,0,Domenica delle Palme,-,-,-,-
77,2015-03-31,martedì,16,14,6,71,sole,0,0,-,-,-,-
78,2015-04-01,mercoledì,15,13,6,51,nebbia ,0,0,-,-,-,-
79,2015-04-02,giovedì,16,12,5,39,sole,0,0,-,-,-,-
80,2015-04-03,venerdì,14,11,7,47,sole,0,0,-,-,-,-
81,2015-04-04,sabato,17,10,8,53,sole,0,0,Sassuolo,Chievo,1-0,A
81,2015-04-04,sabato,17,10,8,53,sole,0,0,Roma,Napoli,1-0,A
